官名:ID,简介,:LABEL
密云右营游击,嘉靖四十二年设游击一员，或加副总兵参将衔，统领督府标兵，专佚应援墙子、古北二路地方。,蓟镇游击将军
密云振武营游击,天顺六年设，初为镇守都指挥，成化二十一年改分守参将，正德二年改镇守参将，十一年改镇守副总兵，嘉靖元年复改分守参将，十八年又改镇守副总兵，三十年改协守，三十三年改分守，四十二年改为游击，或加副总兵参将衔，专佚应援墙子路地方。,蓟镇游击将军
密云辎重营游击,隆庆六年设游击一员，统领督府辎重兵马，转运军饷兼应援曹家路地方。,蓟镇游击将军
镇虏营游击,设游击一员，驻扎墙子路地方，防守本路，仍听调遣。,蓟镇游击将军
遵化左营游击,嘉靖四十二年设游击一员，统领抚院标兵，专佚应援马兰路地方。,蓟镇游击将军
遵化右营游击,嘉靖三十八年设游击一员，统领抚院标兵，专佚应援马兰路地方。,蓟镇游击将军
遵化辎重营游击,隆庆六年设游击一员，统领抚院辎重军马，转运军饷兼应援马兰路地方。,蓟镇游击将军
三屯营左营游击,嘉靖四十三年设游击一员，统三屯游兵，隆庆三年改为总镇标兵，专佚应援喜峰路地方。,蓟镇游击将军
三屯右营游击,隆庆三年设游击一员，统领总镇标兵，专佚应援松棚路地方，万历四年改为协守副总兵，驻扎三屯营。,蓟镇游击将军
三屯营辎重营游击,隆庆六年设都司一员充任，或用游击，统领车兵专运军饷兼应援松棚路地方。,蓟镇游击将军
保河车营游击,嘉靖二十九年设游击一员，统领保河民兵车营，驻扎三屯，惟兵马春秋两班入卫，专佚应援松棚、太平二路地方。,蓟镇游击将军
台头路游击,隆庆二年设游击一员，分守青山、界岭口二提调地方。,蓟镇游击将军
曹家路游击,嘉靖三十年设游击一员，三十一年改游兵，隆庆二年复分守曹家寨一提调地方。,蓟镇游击将军
松棚路游击,隆庆二年设游击一员，分守龙井、洪山、罗文谷三提调地方。,蓟镇游击将军
密云永胜营坐营,隆庆四年设坐营一员，以都指挥体统行事，统领督府标兵，专佚应援。,官职
漕运把总,万历二年设把总一员，以都指挥体统行事，管理漕运粮食事务。,官职
密云守备,嘉靖四十一年设。,蓟镇守备
三河守备,弘治十八年设。,蓟镇守备
蓟州守备,天顺时期设。,蓟镇守备
遵化守备,成化六年设。,蓟镇守备
三屯守备,隆庆三年设。,蓟镇守备
永平守备,弘治十一年设。,蓟镇守备
黄崖口守备,嘉靖四十一年设。,蓟镇提调
大毛山提调,嘉靖四十年设。,蓟镇提调
义院口提调,嘉靖十九年设。,蓟镇提调
冷口提调,嘉靖十九年设。,蓟镇提调
桃林口提调,弘治八年设。,蓟镇提调
青山口提调,嘉靖十九年设。,蓟镇提调
界岭口提调,嘉靖十九年设。,蓟镇提调
擦崖子提调,弘治五年设。,蓟镇提调
榆木岭提调,嘉靖十八年设。,蓟镇提调
李家口提调,原设把总一员，提督大喜峰口地方，嘉靖二十年改为守备，万历二年添设参将，革除守备，万历四年设提调，驻李家口。,蓟镇提调
董家口提调,弘治三年设。,蓟镇提调
龙井儿提调,不详,蓟镇提调
洪山口提调,洪武时期设。,蓟镇提调
罗文谷提调,永乐时期设。,蓟镇提调
大安口提调,永乐时期设。,蓟镇提调
宽佃谷提调,永乐时期设。,蓟镇提调
黄崖口提调,永乐时期设。,蓟镇提调
将军营提调,永乐时期设。,蓟镇提调
镇虏营提调,嘉靖十九年设。,蓟镇提调
墙子岭提调,嘉靖十六年设。,蓟镇提调
曹家寨提调,嘉靖十五年设。,蓟镇提调
吉家庄提调,万历元年设。,蓟镇提调
古北口提调,弘治七年设。,蓟镇提调
潮河川提调,弘治七年设。,蓟镇提调
白马关提调,嘉靖十六年设。,蓟镇提调
石塘岭提调,嘉靖十六年设。,蓟镇提调
